return_id,order_id,return_date,return_reason,refund_amount,created_at,updated_at
62,9773,2024-12-10 19:31:44.885309,Size Issue,164210.64,2024-12-10 19:31:44.885309,2024-12-10 19:31:44.885309
63,4418,2026-06-18 10:56:17.515791,Changed Mind,30643.81,2026-06-18 10:56:17.515791,2026-06-18 10:56:17.515791
64,8489,2024-08-01 11:29:51.811605,Changed Mind,217210.59,2024-08-01 11:29:51.811605,2024-08-01 11:29:51.811605
65,427,2024-09-19 23:37:16.911462,Size Issue,200715.97,2024-09-19 23:37:16.911462,2024-09-19 23:37:16.911462
66,2177,2026-04-09 09:53:32.952038,Wrong Item,246180.85,2026-04-09 09:53:32.952038,2026-04-09 09:53:32.952038
67,7383,2026-06-03 11:29:33.646097,Defective,295709.81,2026-06-03 11:29:33.646097,2026-06-03 11:29:33.646097
68,3150,2024-12-20 03:45:19.220043,Damaged Product,120030.16,2024-12-20 03:45:19.220043,2024-12-20 03:45:19.220043
69,8031,2024-08-28 00:58:51.083820,Damaged Product,51880.77,2024-08-28 00:58:51.083820,2024-08-28 00:58:51.083820
70,8438,2026-01-14 05:29:22.008683,Wrong Item,44219.72,2026-01-14 05:29:22.008683,2026-01-14 05:29:22.008683
71,2375,2025-07-07 13:17:49.132449,Defective,314797.45,2025-07-07 13:17:49.132449,2025-07-07 13:17:49.132449
72,4889,2025-05-25 08:17:22.588271,Damaged Product,191345.63,2025-05-25 08:17:22.588271,2025-05-25 08:17:22.588271
73,9989,2025-12-20 21:36:14.418290,Defective,281519.98,2025-12-20 21:36:14.418290,2025-12-20 21:36:14.418290
74,2168,2025-12-26 14:29:27.908232,Defective,212752.38,2025-12-26 14:29:27.908232,2025-12-26 14:29:27.908232
75,8738,2026-03-22 11:57:19.783465,Size Issue,51380.3,2026-03-22 11:57:19.783465,2026-03-22 11:57:19.783465
76,3013,2025-07-23 05:07:07.021684,Damaged Product,108915.22,2025-07-23 05:07:07.021684,2025-07-23 05:07:07.021684
77,9995,2026-07-05 01:38:42.897114,Damaged Product,177791.69,2026-07-05 01:38:42.897114,2026-07-05 01:38:42.897114
78,1268,2025-04-13 02:22:46.917038,Changed Mind,257442.9,2025-04-13 02:22:46.917038,2025-04-13 02:22:46.917038
79,9470,2026-04-21 23:31:49.019108,Size Issue,66964.72,2026-04-21 23:31:49.019108,2026-04-21 23:31:49.019108
80,9494,2026-04-27 18:46:52.931496,Size Issue,33853.94,2026-04-27 18:46:52.931496,2026-04-27 18:46:52.931496
81,8787,2024-11-16 15:01:06.408896,Size Issue,241441.57,2024-11-16 15:01:06.408896,2024-11-16 15:01:06.408896
82,3219,2026-04-25 22:11:32.263493,Wrong Item,178935.06,2026-04-25 22:11:32.263493,2026-04-25 22:11:32.263493
83,4813,2025-10-01 23:45:46.264010,Damaged Product,285464.01,2025-10-01 23:45:46.264010,2025-10-01 23:45:46.264010
84,9126,2024-11-24 18:29:22.470272,Size Issue,344485.68,2024-11-24 18:29:22.470272,2024-11-24 18:29:22.470272
85,5535,2026-05-14 12:31:55.336631,Wrong Item,135736.28,2026-05-14 12:31:55.336631,2026-05-14 12:31:55.336631
86,4789,2025-08-24 20:08:30.014915,Damaged Product,289949.19,2025-08-24 20:08:30.014915,2025-08-24 20:08:30.014915
87,5132,2025-03-10 01:58:55.165030,Size Issue,325152.43,2025-03-10 01:58:55.165030,2025-03-10 01:58:55.165030
88,8694,2026-07-31 16:27:12.340408,Changed Mind,393654.78,2026-07-31 16:27:12.340408,2026-07-31 16:27:12.340408
89,3462,2026-02-09 13:53:53.336834,Wrong Item,146481.63,2026-02-09 13:53:53.336834,2026-02-09 13:53:53.336834
90,7362,2025-05-08 19:18:20.240989,Size Issue,267454.6,2025-05-08 19:18:20.240989,2025-05-08 19:18:20.240989
91,6310,2024-09-26 07:50:52.566622,Wrong Item,387078.13,2024-09-26 07:50:52.566622,2024-09-26 07:50:52.566622
92,4661,2026-04-07 09:03:12.030224,Changed Mind,81074.24,2026-04-07 09:03:12.030224,2026-04-07 09:03:12.030224
93,612,2025-11-30 20:10:15.581122,Damaged Product,253328.12,2025-11-30 20:10:15.581122,2025-11-30 20:10:15.581122
94,5439,2025-07-27 20:32:30.928014,Size Issue,515202.56,2025-07-27 20:32:30.928014,2025-07-27 20:32:30.928014
95,1470,2026-07-04 16:09:23.789884,Damaged Product,54334.58,2026-07-04 16:09:23.789884,2026-07-04 16:09:23.789884
96,7379,2026-03-26 14:00:08.614336,Size Issue,102609.45,2026-03-26 14:00:08.614336,2026-03-26 14:00:08.614336
97,5023,2025-10-12 23:27:38.458682,Size Issue,64629.75,2025-10-12 23:27:38.458682,2025-10-12 23:27:38.458682
98,4050,2024-10-02 07:58:38.392000,Damaged Product,114340.07,2024-10-02 07:58:38.392000,2024-10-02 07:58:38.392000
99,2083,2026-06-20 20:31:18.257071,Changed Mind,229987.72,2026-06-20 20:31:18.257071,2026-06-20 20:31:18.257071
100,8530,2025-05-13 13:51:01.421837,Damaged Product,222978.52,2025-05-13 13:51:01.421837,2025-05-13 13:51:01.421837
101,4892,2024-09-14 22:56:55.640612,Defective,225928.73,2024-09-14 22:56:55.640612,2024-09-14 22:56:55.640612
102,5414,2026-04-02 16:26:21.026300,Damaged Product,338367.97,2026-04-02 16:26:21.026300,2026-04-02 16:26:21.026300
103,8216,2025-07-22 16:49:21.391300,Changed Mind,171841.1,2025-07-22 16:49:21.391300,2025-07-22 16:49:21.391300
104,3231,2025-11-08 23:05:25.249029,Wrong Item,74699.67,2025-11-08 23:05:25.249029,2025-11-08 23:05:25.249029
105,9014,2025-02-17 18:43:43.788453,Defective,7135.81,2025-02-17 18:43:43.788453,2025-02-17 18:43:43.788453
106,3010,2024-10-12 00:12:25.228226,Wrong Item,160440.57,2024-10-12 00:12:25.228226,2024-10-12 00:12:25.228226
107,7265,2026-03-27 09:47:47.836403,Changed Mind,306027.46,2026-03-27 09:47:47.836403,2026-03-27 09:47:47.836403
108,2657,2026-02-27 22:52:24.402818,Changed Mind,5333.24,2026-02-27 22:52:24.402818,2026-02-27 22:52:24.402818
109,5630,2026-06-16 13:36:21.152301,Wrong Item,356191.89,2026-06-16 13:36:21.152301,2026-06-16 13:36:21.152301
110,617,2025-11-08 04:55:03.840196,Changed Mind,180180.18,2025-11-08 04:55:03.840196,2025-11-08 04:55:03.840196
111,9017,2026-02-12 06:35:52.127353,Wrong Item,545640.06,2026-02-12 06:35:52.127353,2026-02-12 06:35:52.127353
112,2266,2025-04-30 14:50:40.189309,Size Issue,99572.29,2025-04-30 14:50:40.189309,2025-04-30 14:50:40.189309
113,9746,2024-11-25 11:51:34.202830,Size Issue,218117.12,2024-11-25 11:51:34.202830,2024-11-25 11:51:34.202830
114,1482,2026-06-26 01:47:57.449703,Changed Mind,167037.99,2026-06-26 01:47:57.449703,2026-06-26 01:47:57.449703
115,2306,2025-04-18 19:17:15.426623,Damaged Product,288520.93,2025-04-18 19:17:15.426623,2025-04-18 19:17:15.426623
116,1923,2024-08-01 12:48:42.891264,Wrong Item,19867.08,2024-08-01 12:48:42.891264,2024-08-01 12:48:42.891264
117,3363,2025-10-25 16:26:45.845547,Size Issue,87823.0,2025-10-25 16:26:45.845547,2025-10-25 16:26:45.845547
118,2134,2025-11-12 04:21:14.157047,Changed Mind,174177.94,2025-11-12 04:21:14.157047,2025-11-12 04:21:14.157047
119,6521,2026-04-03 10:37:31.191719,Wrong Item,233610.47,2026-04-03 10:37:31.191719,2026-04-03 10:37:31.191719
120,1777,2026-06-14 12:12:23.826007,Wrong Item,413458.26,2026-06-14 12:12:23.826007,2026-06-14 12:12:23.826007
121,4823,2024-08-04 21:50:51.188087,Damaged Product,1361.02,2024-08-04 21:50:51.188087,2024-08-04 21:50:51.188087
122,1969,2024-11-15 12:25:38.357600,Damaged Product,181236.0,2024-11-15 12:25:38.357600,2024-11-15 12:25:38.357600
123,9142,2026-03-19 05:02:59.723448,Damaged Product,205130.32,2026-03-19 05:02:59.723448,2026-03-19 05:02:59.723448
124,9726,2025-10-08 03:31:41.160732,Damaged Product,282638.44,2025-10-08 03:31:41.160732,2025-10-08 03:31:41.160732
125,8955,2025-08-24 14:18:14.597938,Size Issue,241047.06,2025-08-24 14:18:14.597938,2025-08-24 14:18:14.597938
126,4895,2025-07-13 16:57:56.847961,Changed Mind,477615.76,2025-07-13 16:57:56.847961,2025-07-13 16:57:56.847961
127,8677,2024-11-13 06:44:47.636475,Size Issue,51924.22,2024-11-13 06:44:47.636475,2024-11-13 06:44:47.636475
128,9740,2025-03-30 05:40:02.761811,Defective,179400.91,2025-03-30 05:40:02.761811,2025-03-30 05:40:02.761811
129,1332,2025-12-21 08:57:06.690784,Changed Mind,113125.91,2025-12-21 08:57:06.690784,2025-12-21 08:57:06.690784
130,547,2026-03-27 14:19:37.793645,Changed Mind,38095.36,2026-03-27 14:19:37.793645,2026-03-27 14:19:37.793645
131,4375,2025-07-28 07:38:04.247349,Defective,43951.28,2025-07-28 07:38:04.247349,2025-07-28 07:38:04.247349
132,1206,2025-08-06 03:38:17.097282,Defective,155794.9,2025-08-06 03:38:17.097282,2025-08-06 03:38:17.097282
133,2929,2025-12-26 02:58:40.071992,Defective,107021.78,2025-12-26 02:58:40.071992,2025-12-26 02:58:40.071992
134,9491,2025-06-08 06:11:35.687895,Damaged Product,110216.96,2025-06-08 06:11:35.687895,2025-06-08 06:11:35.687895
135,4456,2024-09-22 16:58:26.953661,Defective,189913.84,2024-09-22 16:58:26.953661,2024-09-22 16:58:26.953661
136,635,2025-01-27 23:25:32.562496,Defective,3224.89,2025-01-27 23:25:32.562496,2025-01-27 23:25:32.562496
137,2901,2026-03-08 07:37:56.324894,Defective,167918.0,2026-03-08 07:37:56.324894,2026-03-08 07:37:56.324894
138,4325,2026-06-01 09:56:39.492626,Damaged Product,207812.91,2026-06-01 09:56:39.492626,2026-06-01 09:56:39.492626
139,6236,2024-09-28 00:06:07.101228,Damaged Product,145645.78,2024-09-28 00:06:07.101228,2024-09-28 00:06:07.101228
140,888,2026-06-08 01:17:18.459486,Defective,82069.37,2026-06-08 01:17:18.459486,2026-06-08 01:17:18.459486
141,6980,2024-10-30 23:52:46.463420,Size Issue,254855.76,2024-10-30 23:52:46.463420,2024-10-30 23:52:46.463420
142,5603,2025-06-01 10:00:40.874125,Damaged Product,90817.98,2025-06-01 10:00:40.874125,2025-06-01 10:00:40.874125
143,3731,2026-06-16 12:05:52.114141,Wrong Item,70891.97,2026-06-16 12:05:52.114141,2026-06-16 12:05:52.114141
144,8501,2025-10-23 04:11:08.401252,Changed Mind,87134.23,2025-10-23 04:11:08.401252,2025-10-23 04:11:08.401252
145,628,2026-05-18 10:10:59.158420,Wrong Item,198436.43,2026-05-18 10:10:59.158420,2026-05-18 10:10:59.158420
146,2509,2025-05-30 10:52:19.866220,Wrong Item,107151.11,2025-05-30 10:52:19.866220,2025-05-30 10:52:19.866220
147,7310,2025-02-26 17:49:10.373652,Defective,82571.21,2025-02-26 17:49:10.373652,2025-02-26 17:49:10.373652
148,6415,2025-03-22 03:44:07.037169,Damaged Product,373233.73,2025-03-22 03:44:07.037169,2025-03-22 03:44:07.037169
149,9400,2026-03-16 00:21:59.724732,Changed Mind,155916.16,2026-03-16 00:21:59.724732,2026-03-16 00:21:59.724732
150,1661,2024-09-29 07:36:00.884179,Damaged Product,187659.62,2024-09-29 07:36:00.884179,2024-09-29 07:36:00.884179
151,7946,2026-08-04 01:15:06.485126,Changed Mind,46106.39,2026-08-04 01:15:06.485126,2026-08-04 01:15:06.485126
152,7828,2026-03-21 09:48:34.246085,Damaged Product,329921.36,2026-03-21 09:48:34.246085,2026-03-21 09:48:34.246085
153,2495,2025-10-29 11:03:09.201544,Wrong Item,95784.43,2025-10-29 11:03:09.201544,2025-10-29 11:03:09.201544
154,5400,2024-11-16 21:47:09.258252,Defective,117592.39,2024-11-16 21:47:09.258252,2024-11-16 21:47:09.258252
155,4658,2024-10-19 05:19:05.366517,Defective,121943.09,2024-10-19 05:19:05.366517,2024-10-19 05:19:05.366517
156,4179,2025-06-10 18:14:39.817595,Defective,126344.95,2025-06-10 18:14:39.817595,2025-06-10 18:14:39.817595
157,2943,2025-07-21 04:28:34.033662,Damaged Product,95525.57,2025-07-21 04:28:34.033662,2025-07-21 04:28:34.033662
158,590,2025-12-24 00:31:42.578706,Defective,441364.42,2025-12-24 00:31:42.578706,2025-12-24 00:31:42.578706
159,29,2024-11-28 00:25:20.281168,Defective,1159.49,2024-11-28 00:25:20.281168,2024-11-28 00:25:20.281168
160,2585,2025-10-23 16:02:03.149171,Defective,179251.02,2025-10-23 16:02:03.149171,2025-10-23 16:02:03.149171
161,759,2025-09-22 05:49:22.087067,Defective,530776.05,2025-09-22 05:49:22.087067,2025-09-22 05:49:22.087067
162,580,2026-02-08 11:24:08.959506,Changed Mind,175980.7,2026-02-08 11:24:08.959506,2026-02-08 11:24:08.959506
163,9762,2024-11-05 21:16:27.128157,Defective,144352.87,2024-11-05 21:16:27.128157,2024-11-05 21:16:27.128157
164,1399,2025-05-20 22:53:04.562571,Wrong Item,49262.39,2025-05-20 22:53:04.562571,2025-05-20 22:53:04.562571
165,6554,2025-02-14 12:33:56.023240,Wrong Item,167657.17,2025-02-14 12:33:56.023240,2025-02-14 12:33:56.023240
166,8049,2025-04-12 02:12:52.002136,Changed Mind,426051.7,2025-04-12 02:12:52.002136,2025-04-12 02:12:52.002136
167,6171,2026-05-19 20:27:36.279597,Changed Mind,217155.64,2026-05-19 20:27:36.279597,2026-05-19 20:27:36.279597
168,2884,2026-05-05 15:42:14.704149,Size Issue,376273.92,2026-05-05 15:42:14.704149,2026-05-05 15:42:14.704149
169,90,2025-05-31 10:04:43.563766,Damaged Product,357084.59,2025-05-31 10:04:43.563766,2025-05-31 10:04:43.563766
170,5111,2026-03-02 17:49:21.694571,Defective,269393.9,2026-03-02 17:49:21.694571,2026-03-02 17:49:21.694571
171,9165,2024-11-05 10:56:52.220291,Changed Mind,178518.84,2024-11-05 10:56:52.220291,2024-11-05 10:56:52.220291
172,1154,2026-07-21 16:35:21.489650,Damaged Product,5051.76,2026-07-21 16:35:21.489650,2026-07-21 16:35:21.489650
173,1745,2026-04-07 21:37:33.092462,Damaged Product,137490.12,2026-04-07 21:37:33.092462,2026-04-07 21:37:33.092462
174,1671,2025-10-12 00:23:36.994916,Wrong Item,92065.33,2025-10-12 00:23:36.994916,2025-10-12 00:23:36.994916
175,1159,2025-08-23 04:52:46.915595,Changed Mind,214900.31,2025-08-23 04:52:46.915595,2025-08-23 04:52:46.915595
176,7613,2025-06-23 07:56:18.417949,Wrong Item,154578.65,2025-06-23 07:56:18.417949,2025-06-23 07:56:18.417949
177,6740,2024-12-05 16:20:27.219425,Damaged Product,39381.75,2024-12-05 16:20:27.219425,2024-12-05 16:20:27.219425
178,4455,2024-08-31 01:18:12.247850,Changed Mind,64460.65,2024-08-31 01:18:12.247850,2024-08-31 01:18:12.247850
179,1246,2026-07-02 06:57:29.348425,Changed Mind,19046.95,2026-07-02 06:57:29.348425,2026-07-02 06:57:29.348425
180,7890,2025-06-26 03:46:03.482341,Damaged Product,7375.65,2025-06-26 03:46:03.482341,2025-06-26 03:46:03.482341
181,5308,2024-11-22 00:33:30.639950,Damaged Product,179354.26,2024-11-22 00:33:30.639950,2024-11-22 00:33:30.639950
182,5559,2026-04-04 07:24:44.407206,Changed Mind,48717.21,2026-04-04 07:24:44.407206,2026-04-04 07:24:44.407206
183,4628,2025-10-16 06:03:40.511515,Changed Mind,109232.68,2025-10-16 06:03:40.511515,2025-10-16 06:03:40.511515
184,3207,2025-09-07 18:15:43.049277,Size Issue,393569.4,2025-09-07 18:15:43.049277,2025-09-07 18:15:43.049277
185,7182,2026-04-03 05:15:04.132340,Size Issue,26665.42,2026-04-03 05:15:04.132340,2026-04-03 05:15:04.132340
186,5558,2025-11-17 22:21:03.678406,Size Issue,308117.54,2025-11-17 22:21:03.678406,2025-11-17 22:21:03.678406
187,8324,2024-12-24 01:05:08.338742,Wrong Item,114044.18,2024-12-24 01:05:08.338742,2024-12-24 01:05:08.338742
188,1947,2024-12-04 03:35:28.377562,Size Issue,69377.33,2024-12-04 03:35:28.377562,2024-12-04 03:35:28.377562
189,2827,2026-06-08 14:19:36.646887,Size Issue,267992.5,2026-06-08 14:19:36.646887,2026-06-08 14:19:36.646887
190,891,2026-07-25 23:48:20.627737,Damaged Product,43244.11,2026-07-25 23:48:20.627737,2026-07-25 23:48:20.627737
191,2157,2026-02-04 19:39:03.112755,Defective,120647.81,2026-02-04 19:39:03.112755,2026-02-04 19:39:03.112755
192,8948,2025-12-10 19:47:18.488812,Changed Mind,195778.76,2025-12-10 19:47:18.488812,2025-12-10 19:47:18.488812
193,2277,2024-10-05 22:44:59.075487,Damaged Product,123678.06,2024-10-05 22:44:59.075487,2024-10-05 22:44:59.075487
194,922,2025-09-03 20:59:05.856560,Wrong Item,14598.75,2025-09-03 20:59:05.856560,2025-09-03 20:59:05.856560
195,1569,2025-04-02 03:41:48.067021,Size Issue,167338.39,2025-04-02 03:41:48.067021,2025-04-02 03:41:48.067021
196,3381,2025-06-11 08:08:09.639130,Size Issue,165598.6,2025-06-11 08:08:09.639130,2025-06-11 08:08:09.639130
197,3218,2025-06-01 18:57:43.809702,Damaged Product,73638.31,2025-06-01 18:57:43.809702,2025-06-01 18:57:43.809702
198,4399,2025-03-13 18:22:42.457345,Wrong Item,360043.05,2025-03-13 18:22:42.457345,2025-03-13 18:22:42.457345
199,7713,2025-12-27 18:19:13.399676,Size Issue,41359.17,2025-12-27 18:19:13.399676,2025-12-27 18:19:13.399676
200,4310,2025-04-17 23:43:45.779122,Defective,116606.96,2025-04-17 23:43:45.779122,2025-04-17 23:43:45.779122
201,8067,2026-04-19 09:38:42.492883,Changed Mind,335481.94,2026-04-19 09:38:42.492883,2026-04-19 09:38:42.492883
202,7547,2025-10-05 11:33:12.713326,Size Issue,333364.91,2025-10-05 11:33:12.713326,2025-10-05 11:33:12.713326
203,598,2025-03-29 05:46:53.399925,Changed Mind,248031.5,2025-03-29 05:46:53.399925,2025-03-29 05:46:53.399925
204,6101,2024-10-21 07:07:11.939799,Changed Mind,32128.1,2024-10-21 07:07:11.939799,2024-10-21 07:07:11.939799
205,7852,2025-08-12 20:22:07.084899,Damaged Product,35467.33,2025-08-12 20:22:07.084899,2025-08-12 20:22:07.084899
206,4927,2025-11-23 05:50:34.036360,Wrong Item,467430.22,2025-11-23 05:50:34.036360,2025-11-23 05:50:34.036360
207,4970,2026-03-13 16:47:16.701967,Damaged Product,210406.85,2026-03-13 16:47:16.701967,2026-03-13 16:47:16.701967
208,130,2025-02-18 17:28:04.950738,Damaged Product,63717.48,2025-02-18 17:28:04.950738,2025-02-18 17:28:04.950738
209,402,2025-10-08 18:00:43.509330,Changed Mind,279242.84,2025-10-08 18:00:43.509330,2025-10-08 18:00:43.509330
210,2373,2026-04-22 03:56:43.405252,Size Issue,142925.11,2026-04-22 03:56:43.405252,2026-04-22 03:56:43.405252
211,2301,2026-04-16 02:10:53.115140,Changed Mind,366177.89,2026-04-16 02:10:53.115140,2026-04-16 02:10:53.115140
212,8519,2025-08-29 11:31:41.423743,Size Issue,80191.15,2025-08-29 11:31:41.423743,2025-08-29 11:31:41.423743
213,8702,2025-08-19 10:18:38.892397,Size Issue,87647.88,2025-08-19 10:18:38.892397,2025-08-19 10:18:38.892397
214,9761,2024-12-09 09:48:37.457555,Defective,103354.15,2024-12-09 09:48:37.457555,2024-12-09 09:48:37.457555
215,9974,2025-01-29 02:45:25.479693,Damaged Product,60360.68,2025-01-29 02:45:25.479693,2025-01-29 02:45:25.479693
216,3077,2026-07-09 08:58:16.878906,Defective,175582.02,2026-07-09 08:58:16.878906,2026-07-09 08:58:16.878906
217,8123,2024-09-23 03:44:09.493349,Size Issue,207644.89,2024-09-23 03:44:09.493349,2024-09-23 03:44:09.493349
