inventory_id,product_id,store_id,stock_quantity,reorder_level,last_updated,created_at,updated_at
92,92,1,216,58,2026-07-25 11:43:17.756264,2026-07-25 11:43:17.756264,2026-07-25 11:43:17.756264
93,93,1,32,44,2026-07-25 11:43:17.756273,2026-07-25 11:43:17.756273,2026-07-25 11:43:17.756273
94,94,1,195,58,2026-07-25 11:43:17.756282,2026-07-25 11:43:17.756282,2026-07-25 11:43:17.756282
95,95,1,239,53,2026-07-25 11:43:17.756291,2026-07-25 11:43:17.756291,2026-07-25 11:43:17.756291
96,96,1,128,55,2026-07-25 11:43:17.756300,2026-07-25 11:43:17.756300,2026-07-25 11:43:17.756300
97,97,1,440,80,2026-07-25 11:43:17.756309,2026-07-25 11:43:17.756309,2026-07-25 11:43:17.756309
98,98,1,5,63,2026-07-25 11:43:17.756318,2026-07-25 11:43:17.756318,2026-07-25 11:43:17.756318
99,99,1,369,27,2026-07-25 11:43:17.756327,2026-07-25 11:43:17.756327,2026-07-25 11:43:17.756327
100,100,1,349,76,2026-07-25 11:43:17.756337,2026-07-25 11:43:17.756337,2026-07-25 11:43:17.756337
101,101,1,274,68,2026-07-25 11:43:17.756346,2026-07-25 11:43:17.756346,2026-07-25 11:43:17.756346
102,102,1,136,69,2026-07-25 11:43:17.756355,2026-07-25 11:43:17.756355,2026-07-25 11:43:17.756355
103,103,1,328,41,2026-07-25 11:43:17.756364,2026-07-25 11:43:17.756364,2026-07-25 11:43:17.756364
104,104,1,57,38,2026-07-25 11:43:17.756373,2026-07-25 11:43:17.756373,2026-07-25 11:43:17.756373
105,105,1,222,30,2026-07-25 11:43:17.756382,2026-07-25 11:43:17.756382,2026-07-25 11:43:17.756382
106,106,1,232,20,2026-07-25 11:43:17.756391,2026-07-25 11:43:17.756391,2026-07-25 11:43:17.756391
107,107,1,488,66,2026-07-25 11:43:17.756400,2026-07-25 11:43:17.756400,2026-07-25 11:43:17.756400
108,108,1,448,66,2026-07-25 11:43:17.756409,2026-07-25 11:43:17.756409,2026-07-25 11:43:17.756409
109,109,1,134,52,2026-07-25 11:43:17.756418,2026-07-25 11:43:17.756418,2026-07-25 11:43:17.756418
110,110,1,390,31,2026-07-25 11:43:17.756428,2026-07-25 11:43:17.756428,2026-07-25 11:43:17.756428
111,111,1,259,78,2026-07-25 11:43:17.756436,2026-07-25 11:43:17.756436,2026-07-25 11:43:17.756436
112,112,1,54,75,2026-07-25 11:43:17.756445,2026-07-25 11:43:17.756445,2026-07-25 11:43:17.756445
113,113,1,320,39,2026-07-25 11:43:17.756454,2026-07-25 11:43:17.756454,2026-07-25 11:43:17.756454
114,114,1,430,60,2026-07-25 11:43:17.756463,2026-07-25 11:43:17.756463,2026-07-25 11:43:17.756463
115,115,1,259,58,2026-07-25 11:43:17.756472,2026-07-25 11:43:17.756472,2026-07-25 11:43:17.756472
116,116,1,101,29,2026-07-25 11:43:17.756481,2026-07-25 11:43:17.756481,2026-07-25 11:43:17.756481
117,117,1,191,68,2026-07-25 11:43:17.756490,2026-07-25 11:43:17.756490,2026-07-25 11:43:17.756490
118,118,1,82,54,2026-07-25 11:43:17.756499,2026-07-25 11:43:17.756499,2026-07-25 11:43:17.756499
119,119,1,488,69,2026-07-25 11:43:17.756538,2026-07-25 11:43:17.756538,2026-07-25 11:43:17.756538
120,120,1,472,53,2026-07-25 11:43:17.756548,2026-07-25 11:43:17.756548,2026-07-25 11:43:17.756548
121,121,1,470,20,2026-07-25 11:43:17.756558,2026-07-25 11:43:17.756558,2026-07-25 11:43:17.756558
122,122,1,306,40,2026-07-25 11:43:17.756567,2026-07-25 11:43:17.756567,2026-07-25 11:43:17.756567
123,123,1,250,21,2026-07-25 11:43:17.756577,2026-07-25 11:43:17.756577,2026-07-25 11:43:17.756577
124,124,1,57,79,2026-07-25 11:43:17.756587,2026-07-25 11:43:17.756587,2026-07-25 11:43:17.756587
125,125,1,185,76,2026-07-25 11:43:17.756596,2026-07-25 11:43:17.756596,2026-07-25 11:43:17.756596
126,126,1,425,71,2026-07-25 11:43:17.756605,2026-07-25 11:43:17.756605,2026-07-25 11:43:17.756605
127,127,1,157,35,2026-07-25 11:43:17.756614,2026-07-25 11:43:17.756614,2026-07-25 11:43:17.756614
128,128,1,29,35,2026-07-25 11:43:17.756623,2026-07-25 11:43:17.756623,2026-07-25 11:43:17.756623
129,129,1,449,56,2026-07-25 11:43:17.756632,2026-07-25 11:43:17.756632,2026-07-25 11:43:17.756632
130,130,1,484,25,2026-07-25 11:43:17.756642,2026-07-25 11:43:17.756642,2026-07-25 11:43:17.756642
131,131,1,43,66,2026-07-25 11:43:17.756650,2026-07-25 11:43:17.756650,2026-07-25 11:43:17.756650
132,132,1,248,72,2026-07-25 11:43:17.756659,2026-07-25 11:43:17.756659,2026-07-25 11:43:17.756659
133,133,1,35,68,2026-07-25 11:43:17.756668,2026-07-25 11:43:17.756668,2026-07-25 11:43:17.756668
134,134,1,272,69,2026-07-25 11:43:17.756677,2026-07-25 11:43:17.756677,2026-07-25 11:43:17.756677
135,135,1,64,28,2026-07-25 11:43:17.756686,2026-07-25 11:43:17.756686,2026-07-25 11:43:17.756686
136,136,1,337,50,2026-07-25 11:43:17.756695,2026-07-25 11:43:17.756695,2026-07-25 11:43:17.756695
137,137,1,484,55,2026-07-25 11:43:17.756704,2026-07-25 11:43:17.756704,2026-07-25 11:43:17.756704
138,138,1,84,36,2026-07-25 11:43:17.756713,2026-07-25 11:43:17.756713,2026-07-25 11:43:17.756713
139,139,1,270,75,2026-07-25 11:43:17.756722,2026-07-25 11:43:17.756722,2026-07-25 11:43:17.756722
140,140,1,310,47,2026-07-25 11:43:17.756731,2026-07-25 11:43:17.756731,2026-07-25 11:43:17.756731
141,141,1,493,33,2026-07-25 11:43:17.756739,2026-07-25 11:43:17.756739,2026-07-25 11:43:17.756739
142,142,1,475,54,2026-07-25 11:43:17.756748,2026-07-25 11:43:17.756748,2026-07-25 11:43:17.756748
143,143,1,386,66,2026-07-25 11:43:17.756757,2026-07-25 11:43:17.756757,2026-07-25 11:43:17.756757
144,144,1,353,32,2026-07-25 11:43:17.756766,2026-07-25 11:43:17.756766,2026-07-25 11:43:17.756766
145,145,1,365,39,2026-07-25 11:43:17.756775,2026-07-25 11:43:17.756775,2026-07-25 11:43:17.756775
146,146,1,204,62,2026-07-25 11:43:17.756784,2026-07-25 11:43:17.756784,2026-07-25 11:43:17.756784
147,147,1,332,43,2026-07-25 11:43:17.756793,2026-07-25 11:43:17.756793,2026-07-25 11:43:17.756793
148,148,1,224,77,2026-07-25 11:43:17.756801,2026-07-25 11:43:17.756801,2026-07-25 11:43:17.756801
149,149,1,264,48,2026-07-25 11:43:17.756810,2026-07-25 11:43:17.756810,2026-07-25 11:43:17.756810
150,150,1,61,35,2026-07-25 11:43:17.756819,2026-07-25 11:43:17.756819,2026-07-25 11:43:17.756819
151,151,1,115,24,2026-07-25 11:43:17.756828,2026-07-25 11:43:17.756828,2026-07-25 11:43:17.756828
152,152,1,173,21,2026-07-25 11:43:17.756837,2026-07-25 11:43:17.756837,2026-07-25 11:43:17.756837
153,153,1,301,55,2026-07-25 11:43:17.756846,2026-07-25 11:43:17.756846,2026-07-25 11:43:17.756846
154,154,1,117,57,2026-07-25 11:43:17.756855,2026-07-25 11:43:17.756855,2026-07-25 11:43:17.756855
155,155,1,112,20,2026-07-25 11:43:17.756864,2026-07-25 11:43:17.756864,2026-07-25 11:43:17.756864
156,156,1,36,65,2026-07-25 11:43:17.756873,2026-07-25 11:43:17.756873,2026-07-25 11:43:17.756873
157,157,1,323,23,2026-07-25 11:43:17.756882,2026-07-25 11:43:17.756882,2026-07-25 11:43:17.756882
158,158,1,117,24,2026-07-25 11:43:17.756890,2026-07-25 11:43:17.756890,2026-07-25 11:43:17.756890
159,159,1,463,22,2026-07-25 11:43:17.756899,2026-07-25 11:43:17.756899,2026-07-25 11:43:17.756899
160,160,1,440,41,2026-07-25 11:43:17.756908,2026-07-25 11:43:17.756908,2026-07-25 11:43:17.756908
161,161,1,36,52,2026-07-25 11:43:17.756917,2026-07-25 11:43:17.756917,2026-07-25 11:43:17.756917
162,162,1,121,37,2026-07-25 11:43:17.756926,2026-07-25 11:43:17.756926,2026-07-25 11:43:17.756926
163,163,1,342,51,2026-07-25 11:43:17.756935,2026-07-25 11:43:17.756935,2026-07-25 11:43:17.756935
164,164,1,109,54,2026-07-25 11:43:17.756943,2026-07-25 11:43:17.756943,2026-07-25 11:43:17.756943
165,165,1,67,66,2026-07-25 11:43:17.756952,2026-07-25 11:43:17.756952,2026-07-25 11:43:17.756952
166,166,1,478,76,2026-07-25 11:43:17.756961,2026-07-25 11:43:17.756961,2026-07-25 11:43:17.756961
167,167,1,292,56,2026-07-25 11:43:17.756970,2026-07-25 11:43:17.756970,2026-07-25 11:43:17.756970
168,168,1,242,35,2026-07-25 11:43:17.756979,2026-07-25 11:43:17.756979,2026-07-25 11:43:17.756979
169,169,1,401,50,2026-07-25 11:43:17.756987,2026-07-25 11:43:17.756987,2026-07-25 11:43:17.756987
170,170,1,413,46,2026-07-25 11:43:17.756996,2026-07-25 11:43:17.756996,2026-07-25 11:43:17.756996
171,171,1,97,26,2026-07-25 11:43:17.757005,2026-07-25 11:43:17.757005,2026-07-25 11:43:17.757005
172,172,1,49,62,2026-07-25 11:43:17.757014,2026-07-25 11:43:17.757014,2026-07-25 11:43:17.757014
173,173,1,220,42,2026-07-25 11:43:17.757023,2026-07-25 11:43:17.757023,2026-07-25 11:43:17.757023
174,174,1,216,46,2026-07-25 11:43:17.757032,2026-07-25 11:43:17.757032,2026-07-25 11:43:17.757032
175,175,1,239,75,2026-07-25 11:43:17.757041,2026-07-25 11:43:17.757041,2026-07-25 11:43:17.757041
176,176,1,373,23,2026-07-25 11:43:17.757050,2026-07-25 11:43:17.757050,2026-07-25 11:43:17.757050
177,177,1,344,61,2026-07-25 11:43:17.757059,2026-07-25 11:43:17.757059,2026-07-25 11:43:17.757059
178,178,1,330,26,2026-07-25 11:43:17.757069,2026-07-25 11:43:17.757069,2026-07-25 11:43:17.757069
179,179,1,31,45,2026-07-25 11:43:17.757078,2026-07-25 11:43:17.757078,2026-07-25 11:43:17.757078
180,180,1,372,41,2026-07-25 11:43:17.757087,2026-07-25 11:43:17.757087,2026-07-25 11:43:17.757087
181,181,1,409,75,2026-07-25 11:43:17.757096,2026-07-25 11:43:17.757096,2026-07-25 11:43:17.757096
182,182,1,55,35,2026-07-25 11:43:17.757105,2026-07-25 11:43:17.757105,2026-07-25 11:43:17.757105
183,183,1,98,32,2026-07-25 11:43:17.757114,2026-07-25 11:43:17.757114,2026-07-25 11:43:17.757114
184,184,1,274,48,2026-07-25 11:43:17.757123,2026-07-25 11:43:17.757123,2026-07-25 11:43:17.757123
185,185,1,71,47,2026-07-25 11:43:17.757132,2026-07-25 11:43:17.757132,2026-07-25 11:43:17.757132
186,186,1,93,37,2026-07-25 11:43:17.757141,2026-07-25 11:43:17.757141,2026-07-25 11:43:17.757141
187,187,1,236,35,2026-07-25 11:43:17.757150,2026-07-25 11:43:17.757150,2026-07-25 11:43:17.757150
188,188,1,447,79,2026-07-25 11:43:17.757159,2026-07-25 11:43:17.757159,2026-07-25 11:43:17.757159
189,189,1,38,48,2026-07-25 11:43:17.757167,2026-07-25 11:43:17.757167,2026-07-25 11:43:17.757167
190,190,1,413,75,2026-07-25 11:43:17.757176,2026-07-25 11:43:17.757176,2026-07-25 11:43:17.757176
191,191,1,438,55,2026-07-25 11:43:17.757185,2026-07-25 11:43:17.757185,2026-07-25 11:43:17.757185
192,192,1,50,23,2026-07-25 11:43:17.757194,2026-07-25 11:43:17.757194,2026-07-25 11:43:17.757194
193,193,1,333,54,2026-07-25 11:43:17.757203,2026-07-25 11:43:17.757203,2026-07-25 11:43:17.757203
194,194,1,428,20,2026-07-25 11:43:17.757212,2026-07-25 11:43:17.757212,2026-07-25 11:43:17.757212
195,195,1,496,25,2026-07-25 11:43:17.757220,2026-07-25 11:43:17.757220,2026-07-25 11:43:17.757220
196,196,1,474,68,2026-07-25 11:43:17.757229,2026-07-25 11:43:17.757229,2026-07-25 11:43:17.757229
197,197,1,434,35,2026-07-25 11:43:17.757238,2026-07-25 11:43:17.757238,2026-07-25 11:43:17.757238
198,198,1,85,46,2026-07-25 11:43:17.757247,2026-07-25 11:43:17.757247,2026-07-25 11:43:17.757247
199,199,1,248,50,2026-07-25 11:43:17.757256,2026-07-25 11:43:17.757256,2026-07-25 11:43:17.757256
200,200,1,109,75,2026-07-25 11:43:17.757265,2026-07-25 11:43:17.757265,2026-07-25 11:43:17.757265
201,201,1,205,77,2026-07-25 11:43:17.757274,2026-07-25 11:43:17.757274,2026-07-25 11:43:17.757274
202,202,1,30,30,2026-07-25 11:43:17.757283,2026-07-25 11:43:17.757283,2026-07-25 11:43:17.757283
203,203,1,194,20,2026-07-25 11:43:17.757291,2026-07-25 11:43:17.757291,2026-07-25 11:43:17.757291
204,204,1,199,36,2026-07-25 11:43:17.757300,2026-07-25 11:43:17.757300,2026-07-25 11:43:17.757300
205,205,1,474,70,2026-07-25 11:43:17.757309,2026-07-25 11:43:17.757309,2026-07-25 11:43:17.757309
206,206,1,401,49,2026-07-25 11:43:17.757318,2026-07-25 11:43:17.757318,2026-07-25 11:43:17.757318
207,207,1,146,47,2026-07-25 11:43:17.757327,2026-07-25 11:43:17.757327,2026-07-25 11:43:17.757327
208,208,1,356,66,2026-07-25 11:43:17.757336,2026-07-25 11:43:17.757336,2026-07-25 11:43:17.757336
209,209,1,401,55,2026-07-25 11:43:17.757345,2026-07-25 11:43:17.757345,2026-07-25 11:43:17.757345
210,210,1,338,65,2026-07-25 11:43:17.757354,2026-07-25 11:43:17.757354,2026-07-25 11:43:17.757354
211,211,1,249,29,2026-07-25 11:43:17.757362,2026-07-25 11:43:17.757362,2026-07-25 11:43:17.757362
212,212,1,97,38,2026-07-25 11:43:17.757371,2026-07-25 11:43:17.757371,2026-07-25 11:43:17.757371
213,213,1,111,23,2026-07-25 11:43:17.757380,2026-07-25 11:43:17.757380,2026-07-25 11:43:17.757380
214,214,1,296,67,2026-07-25 11:43:17.757389,2026-07-25 11:43:17.757389,2026-07-25 11:43:17.757389
215,215,1,277,23,2026-07-25 11:43:17.757398,2026-07-25 11:43:17.757398,2026-07-25 11:43:17.757398
216,216,1,382,40,2026-07-25 11:43:17.757406,2026-07-25 11:43:17.757406,2026-07-25 11:43:17.757406
217,217,1,29,23,2026-07-25 11:43:17.757415,2026-07-25 11:43:17.757415,2026-07-25 11:43:17.757415
218,218,1,299,50,2026-07-25 11:43:17.757424,2026-07-25 11:43:17.757424,2026-07-25 11:43:17.757424
219,219,1,257,78,2026-07-25 11:43:17.757433,2026-07-25 11:43:17.757433,2026-07-25 11:43:17.757433
220,220,1,436,53,2026-07-25 11:43:17.757442,2026-07-25 11:43:17.757442,2026-07-25 11:43:17.757442
221,221,1,80,23,2026-07-25 11:43:17.757451,2026-07-25 11:43:17.757451,2026-07-25 11:43:17.757451
222,222,1,491,52,2026-07-25 11:43:17.757459,2026-07-25 11:43:17.757459,2026-07-25 11:43:17.757459
223,223,1,41,74,2026-07-25 11:43:17.757468,2026-07-25 11:43:17.757468,2026-07-25 11:43:17.757468
224,224,1,95,24,2026-07-25 11:43:17.757477,2026-07-25 11:43:17.757477,2026-07-25 11:43:17.757477
225,225,1,304,24,2026-07-25 11:43:17.757486,2026-07-25 11:43:17.757486,2026-07-25 11:43:17.757486
226,226,1,345,75,2026-07-25 11:43:17.757495,2026-07-25 11:43:17.757495,2026-07-25 11:43:17.757495
227,227,1,120,45,2026-07-25 11:43:17.757504,2026-07-25 11:43:17.757504,2026-07-25 11:43:17.757504
228,228,1,61,80,2026-07-25 11:43:17.757513,2026-07-25 11:43:17.757513,2026-07-25 11:43:17.757513
229,229,1,455,56,2026-07-25 11:43:17.757522,2026-07-25 11:43:17.757522,2026-07-25 11:43:17.757522
230,230,1,126,57,2026-07-25 11:43:17.757531,2026-07-25 11:43:17.757531,2026-07-25 11:43:17.757531
231,231,1,304,22,2026-07-25 11:43:17.757539,2026-07-25 11:43:17.757539,2026-07-25 11:43:17.757539
232,232,1,317,25,2026-07-25 11:43:17.757548,2026-07-25 11:43:17.757548,2026-07-25 11:43:17.757548
233,233,1,214,62,2026-07-25 11:43:17.757557,2026-07-25 11:43:17.757557,2026-07-25 11:43:17.757557
234,234,1,298,56,2026-07-25 11:43:17.757566,2026-07-25 11:43:17.757566,2026-07-25 11:43:17.757566
235,235,1,267,40,2026-07-25 11:43:17.757575,2026-07-25 11:43:17.757575,2026-07-25 11:43:17.757575
236,236,1,478,36,2026-07-25 11:43:17.757584,2026-07-25 11:43:17.757584,2026-07-25 11:43:17.757584
237,237,1,104,62,2026-07-25 11:43:17.757593,2026-07-25 11:43:17.757593,2026-07-25 11:43:17.757593
238,238,1,366,40,2026-07-25 11:43:17.757602,2026-07-25 11:43:17.757602,2026-07-25 11:43:17.757602
239,239,1,122,36,2026-07-25 11:43:17.757610,2026-07-25 11:43:17.757610,2026-07-25 11:43:17.757610
